Viti,Muaji,Pershkrimi,Statusi,Komuna,Tatimpaguesit,Blerjet dhe importet investive pa TVSH,Blerjet dhe importet investive me TVSH jo te zbritshme,Importet investive me norme 18%,Importet investive me norme 8%,Blerjet investive vendore me norme 18%,Blerjet investive vendore me norme 8%
2019,1,8,5,27,28,0.0,0.0,0.0,11.25,0.0,0.0
2019,1,8,7,27,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,27,30,9841.63,0.0,1430.0,0.0,16055.99,0.0
2019,1,8,5,28,6,597.8,0.0,0.0,0.0,1016.95,0.0
2019,1,8,20,28,10,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,30,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,30,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,31,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,31,1,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,32,3,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,20,32,2,0.0,0.0,0.0,0.0,0.0,0.0
2019,1,8,5,33,18,0.0,0.0,0.0,0.0,780.21,93.87
